,Daily Time Spent on Site,Ad Category,Time Category,Age,Area Income(in Rupees),Daily Internet Usage,Gender,Clicked on Ad,Country,Continent
29,41.73,0,1,28,71222.4,217.37,0,0,Gabon,Africa
30,74.59,6,3,27,36884.23,214.42,0,0,Spain,Europe
31,47.48,1,1,29,57545.56,216.49,0,0,Burundi,Africa
32,40.47,5,3,35,54429.17,236.87,0,1,Saint Vincent and the Grenadines,North America
33,54.88,8,0,21,61009.1,157.04,0,0,Hungary,Europe
34,82.07,8,2,41,57846.68,187.76,1,1,Honduras,North America
35,59.22,8,3,40,40468.53,140.46,0,1,Denmark,Europe
36,82.07,6,3,22,51363.16,180.47,1,0,Tajikistan,Asia
37,57.24,10,2,33,49101.67,120.75,1,1,Afghanistan,Asia
38,44.33,8,2,39,48335.2,258.62,0,1,Micronesia,Oceania
39,41.73,5,0,31,59886.58,207.17,1,0,French Polynesia,Oceania
40,71.03,8,2,31,40182.84,207.17,0,1,Gabon,Africa
41,89.05,4,2,55,38260.89,187.76,0,1,Tonga,Oceania
42,55.6,1,2,35,73889.99,236.87,0,0,Myanmar,Asia
43,42.04,8,3,37,67132.46,139.32,0,0,Croatia,Europe
44,43.49,8,1,37,51691.55,217.37,0,1,Australia,Oceania
45,51.24,5,3,36,32549.95,109.07,1,0,Algeria,Africa
46,68.01,10,2,33,41547.62,204.02,1,0,Vanuatu,Oceania
47,46.61,4,3,29,53431.35,227.37,0,1,Greece,Europe
48,82.07,5,3,43,52563.22,121.28,0,1,Bangladesh,Asia
49,63.45,6,3,32,57691.95,178.92,1,0,Latvia,Europe
50,36.56,7,2,46,40468.53,229.12,0,1,Belgium,Europe
51,51.56,8,3,29,56113.37,208.05,0,0,Burundi,Africa
52,52.84,8,1,42,60514.05,199.43,1,1,Czech Republic,Europe
53,47.74,6,2,52,32635.7,186.37,1,1,Cuba,North America
54,65.77,8,2,34,59785.94,168.34,1,0,Namibia,Africa
55,56.39,8,0,46,40468.53,253.48,0,0,Belgium,Europe
56,76.64,5,0,31,56180.93,207.17,0,0,Croatia,Europe
57,57.99,8,0,34,40763.13,168.34,1,0,Namibia,Africa
58,55.92,4,2,42,60514.05,236.87,0,0,Madagascar,Africa
59,70.09,7,0,45,59610.81,227.73,0,1,Brazil,South America
60,72.23,4,2,30,57877.15,244.91,1,0,Bolivia,South America
61,61.22,5,3,28,39799.73,212.87,1,0,Barbados,North America
62,55.6,5,0,35,42993.48,221.18,1,0,Hong Kong,Asia
63,59.05,8,2,33,43974.49,135.67,1,1,Vanuatu,Oceania
64,55.79,8,3,22,21644.91,136.21,0,0,Brazil,South America
65,68.01,1,1,33,49101.67,204.27,1,1,Vanuatu,Oceania
66,59.51,5,0,40,66574,232.78,1,0,Ghana,Africa
67,81.32,8,3,49,39031.89,195.69,1,1,Netherlands,Europe
68,63.45,8,1,45,59886.58,187.76,1,1,Turkey,Asia
69,72.19,6,0,39,58287.86,225.99,1,0,Hong Kong,Asia
70,53.68,8,3,37,23936.86,109.29,1,0,Belize,North America
71,41.73,1,0,28,67301.39,120.49,0,0,American Samoa,Oceania
72,82.07,1,3,43,32635.7,198.45,1,1,Turkey,Asia
73,43.49,1,1,37,23936.86,195.69,0,0,Australia,Oceania
74,48.03,1,1,40,63394.41,221.98,0,1,Albania,Europe
75,49.42,1,2,45,69428.73,252.36,0,0,Qatar,Asia
76,53.92,1,2,28,70492.6,221.79,1,0,Luxembourg,Europe
77,73.1,8,0,26,56694.12,131.68,0,0,Austria,Europe
78,54.08,1,3,31,56180.93,240.64,1,0,Croatia,Europe
79,46.61,5,1,50,49957,122.31,0,1,Bangladesh,Asia
80,34.3,8,1,34,34191.23,187.09,1,1,Equatorial Guinea,Africa
81,55.6,8,2,39,37334.78,209.91,1,1,Mongolia,Asia
82,82.07,8,2,55,57868.44,187.76,1,1,Northern Mariana Islands,Oceania
83,56.39,8,3,46,69646.35,198.5,1,0,Ireland,Europe
84,54.97,1,3,29,53431.35,217.1,1,0,Uganda,Africa
85,75.55,8,3,39,48335.2,258.62,0,1,Micronesia,Oceania
86,44.78,8,3,25,50506.44,241.03,1,0,United States Minor Outlying Islands,Oceania
87,73.19,7,2,33,74535.94,120.75,0,0,Cameroon,Africa
88,54.88,1,3,50,39616,226.79,1,1,Iran,Asia
89,55.6,1,1,36,18368.57,115.26,1,1,Myanmar,Asia
90,43.49,5,1,37,66187.58,190.17,0,1,Saint Vincent and the Grenadines,North America
91,74.59,4,2,42,60514.05,238.58,0,1,Czech Republic,Europe
92,43.49,0,2,37,53058.91,230.52,0,0,Croatia,Europe
93,50.08,4,1,29,69718.19,120.06,0,0,United Arab Emirates,Asia
94,50.08,5,2,40,57330.43,140.46,0,1,Cambodia,Asia
95,50.19,3,1,36,32549.95,141.52,1,1,Indonesia,Asia
96,73.93,5,3,33,43974.49,196.77,0,1,Brazil,South America
97,39.3,1,3,29,53431.35,158.56,0,0,Chile,South America
98,55.6,8,3,54,53188.69,182.2,0,1,South Africa,Africa
99,74.63,3,3,27,66815.54,214.42,0,0,Estonia,Europe
100,83.97,8,2,41,57846.68,227.63,1,0,Turkey,Asia
101,68.01,4,3,33,56782.18,227.37,1,1,Australia,Oceania
102,56.39,4,3,46,58966.22,253.48,1,0,Australia,Oceania
103,80.3,8,3,37,23936.86,181.02,0,1,Moldova,Europe
104,61.22,4,2,36,50628.31,115.26,1,0,Netherlands Antilles,North America
105,47.74,6,3,32,69481.85,178.92,1,0,Svalbard & Jan Mayen Islands,Europe
106,88.04,8,1,38,64564.07,206.98,1,1,Western Sahara,Africa
107,59.59,7,3,34,59785.94,203.44,0,1,Turkmenistan,Asia
108,40.04,8,3,34,59785.94,160.03,0,1,Brunei Darussalam,Asia
109,33.33,1,1,25,50671.6,105.86,1,0,Hong Kong,Asia
110,89.05,10,2,49,64564.07,187.76,1,1,Tanzania,Africa
111,84,1,2,36,70592.81,141.52,1,0,Kazakhstan,Asia
112,52.68,8,3,32,69481.85,118.27,1,1,Saudi Arabia,Asia
113,75.84,8,3,45,70053.27,157.04,1,1,Turkey,Asia
114,81.59,7,3,45,45716.48,174.88,0,1,Brazil,South America
115,59.05,8,3,50,43974.49,123.13,0,1,Palau,Oceania
116,86.06,1,2,35,51119.93,143.79,1,1,Moldova,Europe
117,41.73,5,3,28,71222.4,204.79,0,0,Albania,Europe
118,40.47,5,3,35,25603.93,236.87,0,0,Ukraine,Europe
119,61.84,6,1,38,57868.44,170.13,0,1,Lao People's Democratic Republic,Asia
120,59.51,1,2,30,57877.15,219.94,0,0,Qatar,Asia
121,79.91,1,0,30,57877.15,111.94,1,0,Bolivia,South America
122,39.3,8,1,29,53431.35,158.56,0,1,Uganda,Africa
123,44.4,1,3,32,55424.24,172.83,0,0,Kuwait,Asia
124,54.43,8,0,37,53058.91,258.62,0,1,Uganda,Africa
125,61.22,8,1,45,60315.19,137.24,1,1,Switzerland,Europe
126,59.59,1,3,33,36752.24,115.35,0,1,Greece,Europe
127,79.6,1,0,23,62784.85,146.8,0,1,Czech Republic,Europe
128,37,1,3,32,55424.24,219.94,0,0,Bahamas,North America
129,55.6,1,0,35,54286.1,236.87,0,1,Mayotte,Africa
130,40.04,0,2,23,25739.09,172.81,0,0,Gabon,Africa
131,64.75,4,3,25,50506.44,176.28,0,0,Lao People's Democratic Republic,Asia
132,51.56,5,0,45,74903.41,124.67,0,1,Switzerland,Europe
133,88.04,1,3,44,50723.67,120.63,0,0,Congo,Africa
134,70.58,1,3,28,72948.76,230.52,0,1,Chile,South America
135,81.22,5,3,29,56113.37,216.49,0,0,Montenegro,Europe
136,79.54,4,2,25,50671.6,241.03,1,0,Korea,Asia
137,42.04,1,3,37,67132.46,201.58,0,0,Burundi,Africa
138,82.07,1,0,41,57846.68,126.39,0,1,Bulgaria,Europe
139,44.33,8,3,39,38067.08,124.44,0,0,Serbia,Europe
140,55.6,9,2,24,57691.95,182.2,1,0,Somalia,Africa
141,65.59,4,1,39,59457.52,222.25,1,0,Sri Lanka,Asia
142,57.99,5,3,49,45632.51,168.34,1,0,Bahamas,North America
143,52.68,8,3,35,25603.93,236.87,0,0,Hong Kong,Asia
144,50.08,8,2,40,73882.91,132.63,1,0,Honduras,North America
145,65.07,8,1,34,59785.94,160.03,0,1,Turkmenistan,Asia
146,80.3,1,3,52,33951.63,130.86,1,1,Cuba,North America
147,70.44,8,2,34,59785.94,160.03,0,1,Brunei Darussalam,Asia
148,70.39,8,3,27,39193.45,203.9,1,0,Estonia,Europe
149,72.23,8,2,40,41232.89,120.37,0,0,Cameroon,Africa
150,50.08,5,2,36,29398.61,140.46,0,0,Montenegro,Europe
151,42.04,5,1,37,53058.91,181.02,0,0,Belgium,Europe
152,79.52,1,2,38,64564.07,122.04,1,1,Western Sahara,Africa
153,78.7,1,3,32,55424.24,172.83,0,1,Hungary,Europe
154,51.24,8,2,36,29398.61,141.52,0,1,Uganda,Africa
155,79.52,4,3,41,57846.68,259.76,0,0,Hong Kong,Asia
156,70.39,8,2,54,73049.3,117.33,1,1,Libyan Arab Jamahiriya,Africa
157,66.08,7,3,33,77988.71,215.18,0,0,Indonesia,Asia
158,61.22,5,2,31,56180.93,207.17,0,0,Singapore,Asia
159,67.56,1,3,28,71222.4,204.79,0,0,Croatia,Europe
160,83.71,8,2,38,57868.44,130.83,1,1,Western Sahara,Africa
161,72.23,8,1,33,57868.44,191.82,1,1,Sri Lanka,Asia
162,80.3,8,3,49,45632.51,113.8,0,1,Eritrea,Africa
163,86.06,5,3,35,25603.93,109.07,0,1,Albania,Europe
164,70.58,4,3,31,58235.21,207.17,0,0,Turks and Caicos Islands,North America
165,54.97,10,3,33,55984.89,204.27,1,1,Afghanistan,Asia
166,55.6,8,2,39,38067.08,258.62,0,1,Mayotte,Africa
167,79.54,5,0,25,50506.44,241.03,1,0,Georgia,Asia
168,43.49,5,3,37,23936.86,181.02,0,0,Burundi,Africa
169,56.39,4,2,40,62669.59,117.3,1,1,Ethiopia,Africa
170,76.77,1,1,36,29398.61,222.25,0,0,Chad,Africa
171,40.47,8,1,27,14548.06,190.17,0,1,Poland,Europe
172,78.36,8,3,34,40183.75,160.03,0,0,Turkmenistan,Asia
173,43.49,1,3,37,61172.07,181.02,1,0,Moldova,Europe
174,40.04,8,3,34,20592.99,168.34,0,0,Turkmenistan,Asia
175,59.36,1,3,38,39031.89,195.69,0,0,Burundi,Africa
176,40.04,0,0,23,40135.06,222.87,0,1,Czech Republic,Europe
177,41.73,1,3,28,51501.38,120.49,1,0,Luxembourg,Europe
178,66.12,1,0,28,59448.44,230.52,0,1,Libyan Arab Jamahiriya,Africa
179,84.73,8,0,36,76003.47,140.46,0,1,Guinea,Africa
180,43.6,6,3,39,75044.35,236.87,0,0,Saint Pierre and Miquelon,North America
181,42.04,0,2,37,53058.91,129.31,0,1,Australia,Oceania
182,51.24,8,1,36,61610.05,124.44,0,1,El Salvador,North America
183,71.84,1,3,39,37334.78,190.75,1,0,American Samoa,Oceania
184,84.73,8,0,26,60997.84,131.68,0,1,Albania,Europe
185,43.49,8,1,37,75180.2,181.02,0,1,Australia,Oceania
186,70.92,4,3,31,27262.51,217.37,0,1,Czech Republic,Europe
187,80.3,8,3,37,67132.46,177.55,0,0,Burundi,Africa
188,52.68,1,3,32,55424.24,178.92,1,0,French Southern Territories,Antarctica
189,69.77,5,0,35,66541.05,226.54,1,0,Hong Kong,Asia
190,80.47,1,2,33,52736.33,113.12,1,0,Vanuatu,Oceania
191,72.55,3,0,31,66348.95,124.44,0,0,Mexico,North America
192,51.87,8,1,49,39031.89,195.69,1,1,Afghanistan,Asia
193,81.98,8,2,22,63430.33,136.21,0,0,United States of America,North America
194,40.17,8,1,26,63430.33,140.46,0,0,United Arab Emirates,Asia
195,65.65,1,3,41,39799.73,156.48,0,0,Qatar,Asia
196,56.16,8,3,33,43974.49,196.77,0,1,Hungary,Europe
197,47.74,8,2,40,73882.91,221.98,1,0,Honduras,North America
198,78.79,8,2,36,73882.91,214.33,1,0,Senegal,Africa
199,51.56,8,2,27,14548.06,193.29,1,0,Dominican Republic,North America
200,56.39,1,0,19,58966.22,163,1,0,Sri Lanka,Asia
201,82.07,5,1,35,50723.67,259.76,0,0,Angola,Africa
202,43.49,4,0,37,23936.86,109.29,1,1,Libyan Arab Jamahiriya,Africa
203,56.16,8,1,26,53336.76,131.68,1,0,Madagascar,Africa
204,41.73,5,0,28,32252.38,217.37,0,0,Gabon,Africa
205,59.51,4,2,32,55424.24,172.83,1,0,Bolivia,South America
206,78.7,7,1,46,33951.63,221.98,1,1,Switzerland,Europe
207,47.74,1,3,36,50628.31,126.39,1,1,Turkey,Asia
208,55.6,1,3,35,73889.99,225.58,1,1,French Southern Territories,Antarctica
209,75.15,1,3,33,46868.53,204.02,1,0,Vanuatu,Oceania
210,82.79,8,1,35,73889.99,226.54,1,1,Moldova,Europe
211,49.21,1,2,30,58677.69,172.83,0,0,Venezuela,South America
212,56.39,1,3,19,40468.53,193.29,0,1,Estonia,Europe
213,79.52,1,3,25,50671.6,241.03,0,1,Micronesia,Oceania
214,75.71,1,2,51,41547.62,111.94,1,0,Saint Lucia,North America
215,83.71,1,1,44,64564.07,187.76,0,1,Norway,Europe
216,47.48,8,3,27,66815.54,120.75,0,0,Ukraine,Europe
217,86.06,6,3,32,55424.24,178.92,1,0,Ghana,Africa
218,33.33,7,0,45,74903.41,174.88,0,1,Taiwan,Asia
219,81.98,8,3,22,52340.1,128.62,0,0,Samoa,Oceania
220,68.88,4,2,42,60514.05,236.87,0,1,Czech Republic,Europe
221,55.6,1,0,35,42993.48,221.18,1,1,Mayotte,Africa
222,84.98,6,0,24,52252.91,178.92,1,0,Algeria,Africa
223,56.39,4,3,60,69646.35,218.61,0,1,Belgium,Europe
224,85.84,8,0,38,70005.51,197.93,0,1,French Polynesia,Oceania
225,88.04,5,0,41,64828,236.87,0,1,Cuba,North America
226,59.22,1,0,40,57594.7,244.91,1,1,Bolivia,South America
227,43.49,1,3,27,39193.45,131.29,1,0,Zimbabwe,Africa
228,65.65,1,3,30,58677.69,219.94,0,0,Qatar,Asia
229,50.63,5,3,31,61067.58,236.87,1,0,Hong Kong,Asia
230,40.47,4,3,40,38067.08,140.46,0,1,El Salvador,North America
231,40.17,1,2,25,59886.58,165.52,1,0,Korea,Asia
232,75.42,6,2,30,57877.15,111.94,1,0,Bolivia,South America
233,76.58,1,3,33,44174.25,120.75,1,0,Myanmar,Asia
234,41.73,5,1,28,71222.4,204.79,0,0,Zambia,Africa
235,76.81,4,0,28,71222.4,217.37,0,1,Australia,Oceania
236,75.42,5,2,26,31265.75,140.83,1,0,Bolivia,South America
237,88.04,1,0,44,48335.2,187.76,0,0,Angola,Africa
238,65.59,0,2,47,39031.89,195.69,1,1,Netherlands,Europe
239,88.04,7,3,38,70582.55,206.98,1,0,Finland,Europe
240,40.47,8,3,29,56113.37,112.72,0,0,Brazil,South America
241,73.72,1,3,36,32549.95,109.07,1,1,French Polynesia,Oceania
242,80.99,8,3,26,44248.52,221.98,1,0,Madagascar,Africa
243,46.61,5,2,41,55121.65,126.39,0,1,Honduras,North America
244,60.23,1,1,22,61009.1,198.45,1,0,Eritrea,Africa
245,35.61,8,3,37,67132.46,258.62,0,1,Netherlands,Europe
246,81.58,5,3,41,57846.68,126.39,1,1,Turkey,Asia
247,37,1,3,30,58677.69,219.94,0,0,Qatar,Asia
248,59.88,7,0,26,46033.73,207.17,1,0,Singapore,Asia
249,54.43,8,3,37,61228.96,258.62,0,1,Micronesia,Oceania
250,41.73,5,3,31,61840.26,207.17,1,0,Slovenia,Europe
251,55.6,1,3,35,42993.48,221.18,1,1,Luxembourg,Europe
252,41.73,10,3,28,71222.4,221.94,0,1,Czech Republic,Europe
253,41.73,1,3,28,67132.46,217.37,0,0,Gabon,Africa
254,41.73,1,2,28,67301.39,217.37,1,1,Luxembourg,Europe
255,78.64,4,2,39,49282.87,258.62,1,1,Belize,North America
256,62.26,3,0,32,70505.06,221.21,0,1,Fiji,Oceania
257,51.24,8,2,36,61610.05,140.46,0,1,Uganda,Africa
258,52.84,4,0,26,56694.12,131.68,0,0,Austria,Europe
259,78.64,1,0,41,50628.31,144.77,1,1,Ethiopia,Africa
260,41.73,4,3,28,71222.4,217.37,0,0,Gabon,Africa
261,80.3,8,1,29,66504.16,173.43,1,1,Australia,Oceania
262,71.03,1,3,39,38067.08,207.17,0,0,Zambia,Africa
263,80.3,8,3,49,45632.51,113.8,0,1,Netherlands,Europe
264,62.26,6,3,25,50671.6,138.71,1,0,Georgia,Asia
265,51.24,8,1,36,76003.47,203.9,1,1,Belize,North America
266,55.6,1,3,35,50506.44,214.42,0,0,Saint Vincent and the Grenadines,North America
267,71.84,1,1,39,56180.93,165.52,1,0,American Samoa,Oceania
268,71.28,8,1,36,29398.61,222.25,0,0,Ukraine,Europe
269,62.42,8,1,22,63363.04,245.89,1,0,Guernsey,Europe
270,83.71,4,3,38,57868.44,130.83,1,1,Western Sahara,Africa
271,71.28,8,1,54,37908.29,182.2,0,1,Cook Islands,Oceania
272,76.87,8,2,43,66873.9,198.45,1,0,Yemen,Asia
273,68.88,0,2,42,59243.46,143.13,1,1,United Kingdom,Europe
274,76.06,8,3,39,37334.78,258.62,0,1,Micronesia,Oceania
275,51.24,8,3,36,59240.24,128.62,0,0,Kazakhstan,Asia
276,43.6,8,0,35,51119.93,109.07,1,1,Togo,Africa
277,56.3,5,3,29,61172.07,216.49,1,0,Niger,Africa
278,79.81,8,3,34,34191.23,168.34,1,0,Equatorial Guinea,Africa
279,56.34,5,2,40,31265.75,232.78,1,0,Bolivia,South America
280,46.14,8,1,26,56694.12,190.17,0,0,Gabon,Africa
281,34.78,5,1,30,66359.32,229.99,1,0,Puerto Rico,North America
282,73.49,7,2,26,53336.76,131.68,1,0,Mauritius,Africa
283,55.55,1,2,39,48335.2,124.44,0,0,Qatar,Asia
284,76.87,1,0,31,56180.93,207.17,0,0,Singapore,Asia
285,85.62,4,2,25,50506.44,140.46,0,0,Lao People's Democratic Republic,Asia
286,46.14,5,0,28,39799.73,217.37,0,0,Gabon,Africa
287,39.36,8,0,42,57868.44,120.75,1,1,Czech Republic,Europe
288,41.73,8,2,34,40763.13,160.03,1,1,Saint Vincent and the Grenadines,North America
289,41.73,5,0,31,42078.89,171.23,0,0,Singapore,Asia
290,52.84,8,0,23,25739.09,172.81,0,1,Czech Republic,Europe
291,63.45,8,1,31,61840.26,207.17,1,0,Hong Kong,Asia
292,81.1,5,2,31,58235.21,207.17,1,0,American Samoa,Oceania
293,65.77,8,3,34,59785.94,160.03,0,1,Jamaica,North America
294,43.49,8,3,37,75180.2,195.69,1,0,Australia,Oceania
295,59.59,8,3,22,31215.88,121.07,0,0,United States of America,North America
296,72.23,1,3,30,50671.6,244.91,1,0,Guinea,Africa
297,46.61,8,2,55,58633.63,187.76,0,1,Tonga,Oceania
298,72.97,8,0,25,50671.6,241.03,1,0,Georgia,Asia
299,60.23,1,3,44,60575.99,139.34,1,0,Northern Mariana Islands,Oceania
300,80.51,8,2,55,55015.08,157.04,0,1,Tonga,Oceania
301,39.36,5,2,44,66025.11,231.48,1,0,Czech Republic,Europe
302,36.08,1,3,35,54324.73,167.42,0,0,Qatar,Asia
303,76.2,1,2,33,47929.83,178.69,1,0,Indonesia,Asia
304,40.47,8,3,35,42696.67,168.41,1,0,Hong Kong,Asia
305,56.39,5,2,40,73882.91,167.22,0,0,Qatar,Asia
306,85.62,8,3,25,50506.44,241.03,1,0,Georgia,Asia
307,42.04,8,3,52,73049.3,230.18,1,0,Cuba,North America
308,59.22,8,0,40,73882.91,133.2,1,0,Samoa,Oceania
309,36.73,5,3,31,59677.64,207.17,1,0,Switzerland,Europe
310,48.46,5,2,25,50506.44,241.03,0,0,Grenada,North America
311,80.99,5,0,26,68030.18,154.74,1,0,Saint Lucia,North America
312,80.3,1,1,29,69718.19,153.76,0,0,Burundi,Africa
313,85.62,4,2,25,50506.44,202.18,0,0,Qatar,Asia
314,89,1,2,51,74535.94,188.56,1,1,Vanuatu,Oceania
315,51.24,8,3,54,38609.2,182.2,0,0,South Africa,Africa
316,44.78,8,3,26,56694.12,190.17,0,1,Bangladesh,Asia
317,43.49,8,2,31,59677.64,207.17,1,0,Hong Kong,Asia
318,78.7,4,0,33,57868.44,178.75,0,1,Hungary,Europe
319,52.68,1,3,32,70505.06,172.83,0,0,Chile,South America
320,64.75,0,2,31,56180.93,135.18,0,0,Timor-Leste,Asia
321,71.14,7,3,31,51739.63,207.17,1,0,Hong Kong,Asia
322,55.6,5,1,24,52252.91,182.2,0,0,Algeria,Africa
323,43.67,6,1,26,53336.76,259.76,0,0,United Arab Emirates,Asia
324,40.04,4,0,42,60514.05,238.58,0,1,Costa Rica,North America
325,55.6,1,0,35,42993.48,236.87,0,1,Mayotte,Africa
326,65.65,8,2,30,57877.15,198.72,0,0,Qatar,Asia
327,65.65,1,3,41,49850.52,219.94,0,0,Qatar,Asia
328,80.3,8,3,49,39031.89,195.69,1,1,Australia,Oceania
329,80.31,5,3,45,32252.38,207.17,0,0,Bouvet Island (Bouvetoya),Antarctica
330,60.23,1,1,44,65883.39,139.34,1,0,Cote d'Ivoire,Africa
331,79.54,5,3,41,57846.68,227.63,1,1,Turkey,Asia
332,82.07,8,3,38,57868.44,122.04,1,0,Finland,Europe
333,79.52,4,0,41,57846.68,126.39,0,1,Micronesia,Oceania
334,55.6,1,3,39,35253.98,230.52,0,1,Costa Rica,North America
335,78.64,1,3,32,69481.85,230.18,1,1,Saudi Arabia,Asia
336,43.6,8,2,35,55121.65,204.79,1,0,American Samoa,Oceania
337,80.3,3,2,52,33951.63,186.37,0,1,Eritrea,Africa
338,42.04,8,1,49,45632.51,113.8,0,1,Netherlands,Europe
339,40.04,8,0,28,67669.06,199.39,1,0,United States Virgin Islands,North America
340,41.73,5,3,31,61840.26,212.87,1,0,Singapore,Asia
341,82.07,7,3,22,73941.91,133.2,0,0,United States of America,North America
342,45.99,7,3,33,61005.87,113.12,1,0,Iran,Asia
343,56.39,8,1,29,69646.35,191.82,1,1,Portugal,Europe
344,43.49,1,2,37,58235.21,109.29,1,0,Luxembourg,Europe
345,35.61,5,3,35,25603.93,236.87,0,0,Faroe Islands,Europe
346,86.06,1,2,32,69481.85,178.92,1,1,Saudi Arabia,Asia
347,47.48,1,3,29,69646.35,219.94,0,0,Burundi,Africa
348,68.88,8,3,23,55121.65,172.81,1,0,United States Virgin Islands,North America
349,37,6,2,30,57877.15,138.71,1,0,Bolivia,South America
350,40.01,8,1,45,76480.16,137.24,1,1,Micronesia,Oceania
351,70.58,8,0,28,73207.15,230.52,0,1,Uruguay,South America
352,70.29,5,0,31,52178.98,240.64,1,0,Bouvet Island (Bouvetoya),Antarctica
353,40.47,8,2,36,31281.01,222.25,1,0,Chad,Africa
354,62.26,6,2,28,59457.52,187.76,1,0,Cote d'Ivoire,Africa
355,55.92,8,3,34,59785.94,160.03,0,1,Hungary,Europe
356,55.6,5,3,37,58235.21,109.29,1,0,Sri Lanka,Asia
357,41.73,4,3,28,67669.06,217.37,0,0,Croatia,Europe
358,78.84,1,2,35,23410.75,225.58,0,0,Myanmar,Asia
359,54.88,8,3,22,67058.72,121.07,0,0,United States of America,North America
360,80.47,1,0,38,57868.44,206.98,1,1,Jersey,Europe
361,60.23,1,3,43,57868.44,198.45,1,1,Northern Mariana Islands,Oceania
362,51.87,8,2,46,66291.67,218.61,1,1,Australia,Oceania
363,88.12,5,3,26,53336.76,131.68,1,0,Singapore,Asia
364,43.49,1,0,28,53058.91,230.52,0,1,Egypt,Africa
365,40.17,6,1,26,62669.59,228.78,1,0,Ghana,Africa
366,69.62,8,3,34,34191.23,203.84,1,0,Hungary,Europe
367,55.6,8,3,27,36884.23,231.42,1,0,Netherlands Antilles,North America
368,88.12,3,2,26,74903.41,228.78,1,0,Egypt,Africa
369,86.06,4,1,24,64698.58,161.16,1,0,Somalia,Africa
370,78.84,8,3,36,59240.24,222.25,0,0,Ukraine,Europe
371,66.08,4,3,19,31215.88,133.2,0,0,Burundi,Africa
372,81.58,1,2,41,63363.04,167.86,1,1,Croatia,Europe
373,65.59,3,0,39,59677.64,212.87,1,0,Canada,North America
374,79.52,4,1,41,57846.68,126.39,0,1,El Salvador,North America
375,80.47,1,3,43,51119.93,198.45,1,1,Northern Mariana Islands,Oceania
376,73.72,8,3,39,37334.78,236.87,0,1,Saint Vincent and the Grenadines,North America
377,51.24,3,2,27,63879.72,190.17,0,1,United Arab Emirates,Asia
378,81.22,4,1,41,57846.68,172.57,0,1,El Salvador,North America
379,61.22,8,0,36,32549.95,115.26,1,0,Netherlands Antilles,North America
380,42.04,8,1,37,23936.86,231.28,0,1,Croatia,Europe
381,80.99,10,3,26,68030.18,131.68,1,0,Sri Lanka,Asia
382,75.55,8,3,40,73882.91,139.02,1,0,Greece,Europe
383,49.21,1,2,52,47708.42,229.12,0,1,Greece,Europe
384,41.49,3,3,32,69481.85,118.27,0,1,Lebanon,Asia
385,37,8,2,30,57877.15,201.58,1,0,Bolivia,South America
386,62.26,8,0,25,50671.6,241.03,1,0,Korea,Asia
387,56.16,8,3,29,54286.1,120.06,0,1,Cayman Islands,North America
388,49.21,1,2,27,14548.06,193.29,0,0,Ukraine,Europe
389,41.73,1,1,28,59677.64,120.49,1,0,Luxembourg,Europe
390,73.89,4,3,31,55121.65,236.87,0,1,Czech Republic,Europe
391,44.4,6,2,53,57877.15,111.94,1,1,Bolivia,South America
392,42.04,8,3,37,62772.42,195.69,1,0,Sri Lanka,Asia
